department,bio_gdd_spring,hydric_precip_spring,stress_heat_days,stress_shock_days,risk_frost_april,risk_wet_harvest,risk_heavy_rain_july,bio_vernalization_days,bio_aridity_index,bio_compound_stress_days,datetime,year,log_time,pred_baseline,pred_anomaly,predicted_yield
Vosges,1784.992,0.015854996,5,0,10,0.0016509327,0,48,0.00078311545,5,2015-01-01,2015,3.5263605246161616,6.4077710866822395,0.10040589936069416,6.508176986042933
Yonne,1951.739,0.022397446,5,0,7,0.0010512329,0,54,0.001050299,5,2015-01-01,2015,3.5263605246161616,6.504973563593548,0.22658275758099206,6.731556321174541
Yvelines,1924.4199,0.0041702488,6,0,7,0.0001052167,0,56,0.000196276,6,2015-01-01,2015,3.5263605246161616,7.6743681393978935,0.1268872949672823,7.801255434365176
Ain,1912.961,0.011660194,4,0,8,0.0019500188,0,41,0.00056302734,4,2016-01-01,2016,3.5553480614894135,6.439938079087792,-0.003099226400093524,6.436838852687699
Aisne,1892.2156,0.010596478,5,0,8,0.00068019284,0,41,0.0005039002,5,2016-01-01,2016,3.5553480614894135,7.6548722669970575,-0.011703695922866983,7.643168571074191
Allier,1992.7814,0.010199807,9,0,9,0.002208928,0,48,0.00048383768,9,2016-01-01,2016,3.5553480614894135,5.805463518581212,-0.16318390896605275,5.6422796096151595
Alpes_Maritimes,1538.2439,0.0075120535,0,0,14,0.0027904068,0,24,0.00041721796,0,2016-01-01,2016,3.5553480614894135,3.70688688241331,-0.25218268034825786,3.4547042020650522
Alpes_de_Haute_Provence,1505.1349,0.0072128093,0,0,19,0.0022432655,0,18,0.0004239363,0,2016-01-01,2016,3.5553480614894135,3.6661737974931077,-0.07991488817258204,3.5862589093205255
Ardeche,1750.7372,0.013262799,1,0,14,0.0024159634,0,40,0.0006891149,1,2016-01-01,2016,3.5553480614894135,3.181907532152738,-0.08157829887045745,3.1003292332822805
Ardennes,1839.3367,0.007955694,1,0,13,0.0006942565,0,36,0.0003858914,1,2016-01-01,2016,3.5553480614894135,7.183493718380148,-0.015904338618638613,7.167589379761509
Ariege,1488.1426,0.019905899,2,0,14,0.0025808066,0,37,0.0011361709,2,2016-01-01,2016,3.5553480614894135,4.641264628847316,-0.1163982160239221,4.5248664128233935
